"report_date","asin","cost","clicks","impressions"
"2022-02-17",NULL,0.13,1,50
"2022-02-18",NULL,9.19,13,2511
"2022-02-18",NULL,1.01,2,96
"2022-02-19",NULL,9.39,19,2471
"2022-02-20",NULL,8.01,17,1463
"2022-02-20",NULL,2.15,4,456
"2022-02-21",NULL,7.65,13,1553
"2022-02-21",NULL,1.68,2,278
"2022-02-22",NULL,7.21,10,1818
"2022-02-22",NULL,1.8,5,314
"2022-02-23",NULL,6.91,13,2828
"2022-02-23",NULL,0.82,1,138
"2022-02-24",NULL,6.89,15,3194
"2022-02-24",NULL,1.58,1,134
"2022-02-25",NULL,7.09,9,998
"2022-02-25",NULL,2.46,4,181
"2022-02-26",NULL,6.94,17,1683
"2022-02-26",NULL,2.38,4,352
"2022-02-27",NULL,8.67,16,1720
"2022-02-27",NULL,1.09,3,290
"2022-02-28",NULL,4.02,7,1466
"2022-02-28",NULL,0.92,1,188
"2022-03-01",NULL,1.17,2,159
"2022-03-01",NULL,1.74,2,143
"2022-03-02",NULL,1.26,3,400
"2022-03-02",NULL,1.77,3,129
"2022-03-03",NULL,1.47,2,264
"2022-03-03",NULL,0.99,1,16
"2022-03-04",NULL,2.03,5,1404
"2022-03-04",NULL,0.9,3,110
"2022-03-05",NULL,1.33,2,902
"2022-03-05",NULL,0.97,3,248
"2022-03-06",NULL,1.23,2,734
"2022-03-06",NULL,1.93,2,163
"2022-03-07",NULL,1.12,2,345
"2022-03-07",NULL,1.38,1,4
"2022-03-08",NULL,5.61,15,2675
"2022-03-08",NULL,1.05,3,100
"2022-03-09",NULL,4.73,12,3176
"2022-03-09",NULL,0.94,3,150
"2022-03-10",NULL,9.56,22,7526
"2022-03-11",NULL,7.75,19,7873
"2022-03-11",NULL,0.79,3,309
"2022-03-12",NULL,12.88,14,9502
"2022-03-12",NULL,1.07,2,303
"2022-03-13",NULL,15.45,24,10148
"2022-03-13",NULL,1.1,2,86
"2021-04-24","C003TFFCLU",0.62,2,126
"2021-04-28","C003TFFCLU",0.4,1,120
"2021-05-06","C003TFFCLU",0.44,1,108
"2021-05-11","C003TFFCLU",0.39,1,75
"2021-05-12","C003TFFCLU",0.51,2,129
"2021-05-13","C003TFFCLU",0.54,1,127
"2021-05-14","C003TFFCLU",0.38,1,108
"2021-05-15","C003TFFCLU",0.62,2,159
"2021-05-20","C003TFFCLU",1.3,1,67
"2021-05-20","C003TFFCLU",0.83,1,66
"2021-05-23","C003TFFCLU",0.24,1,136
"2021-05-24","C003TFFCLU",1.7,1,114
"2021-05-25","C003TFFCLU",1.96,2,116
"2021-05-25","C003TFFCLU",1.59,1,19
"2021-05-28","C003TFFCLU",0.19,1,43
"2021-06-01","C003TFFCLU",0.19,1,110
"2021-06-03","C003TFFCLU",0.35,2,106
"2021-06-04","C003TFFCLU",0.3,1,91
"2021-06-05","C003TFFCLU",0.55,1,20
"2021-06-06","C003TFFCLU",0.54,1,124
"2021-06-06","C003TFFCLU",1.59,1,46
"2021-06-07","C003TFFCLU",0.3,1,85
"2021-06-07","C003TFFCLU",0.26,1,16
"2021-06-08","C003TFFCLU",0.83,1,46
"2021-06-09","C003TFFCLU",0.74,1,23
"2021-06-12","C003TFFCLU",1.71,2,185
"2021-06-12","C003TFFCLU",0.4,1,1105
"2021-06-14","C003TFFCLU",0.42,1,18
"2021-06-14","C003TFFCLU",0.26,1,1780
"2021-06-15","C003TFFCLU",0.26,1,128
"2021-06-16","C003TFFCLU",0.65,1,118
"2021-06-19","C003TFFCLU",0.92,1,64
"2021-06-19","C003TFFCLU",0.18,1,484
"2021-06-20","C003TFFCLU",0.8,1,59
"2021-06-21","C003TFFCLU",0.33,1,125
"2021-06-21","C003TFFCLU",1.41,5,790
"2021-06-22","C003TFFCLU",1.0,1,118
"2021-06-22","C003TFFCLU",0.5,2,613
"2021-06-25","C003TFFCLU",0.57,1,20
"2021-06-25","C003TFFCLU",0.16,1,220
"2021-06-26","C003TFFCLU",0.17,1,152
"2021-06-29","C003TFFCLU",0.38,1,448
"2021-06-30","C003TFFCLU",0.51,1,162
"2021-06-30","C003TFFCLU",0.15,1,337
"2021-07-01","C003TFFCLU",0.98,1,5
"2021-07-02","C003TFFCLU",0.5,1,231
"2021-07-02","C003TFFCLU",0.42,1,19
"2021-07-04","C003TFFCLU",0.46,1,255
"2021-07-07","C003TFFCLU",0.45,1,44
"2021-07-08","C003TFFCLU",0.32,1,44
"2021-07-09","C003TFFCLU",0.46,1,21
"2021-07-10","C003TFFCLU",2.61,2,305
"2021-07-10","C003TFFCLU",1.09,1,259
"2021-07-10","C003TFFCLU",2.44,3,294
"2021-07-10","C003TFFCLU",1.17,1,478
"2021-07-11","C003TFFCLU",1.21,1,374
"2021-07-11","C003TFFCLU",0.85,1,156
"2021-07-12","C003TFFCLU",4.18,4,145
"2021-07-12","C003TFFCLU",1.92,2,439
"2021-07-12","C003TFFCLU",0.85,1,480
"2021-07-12","C003TFFCLU",1.42,1,766
"2021-07-13","C003TFFCLU",0.3,1,31
"2021-07-13","C003TFFCLU",1.02,1,577
"2021-07-13","C003TFFCLU",2.14,3,555
"2021-07-14","C003TFFCLU",0.77,1,214
"2021-07-14","C003TFFCLU",0.51,1,936
"2021-07-14","C003TFFCLU",2.32,3,626
"2021-07-15","C003TFFCLU",0.46,1,225
"2021-07-16","C003TFFCLU",0.5,1,33
"2021-07-16","C003TFFCLU",0.74,1,37
"2021-07-16","C003TFFCLU",0.34,1,311
"2021-07-17","C003TFFCLU",0.74,1,57
"2021-07-21","C003TFFCLU",0.68,1,51
"2021-07-21","C003TFFCLU",0.91,1,424
"2021-07-22","C003TFFCLU",0.77,1,290
"2021-07-24","C003TFFCLU",1.02,2,249
"2021-07-25","C003TFFCLU",1.45,2,342
